stock1,stock2,p_value,ADF_stat
300250,002264,0.0017491117353442105,-3.9416065667944205
600797,300248,0.001771283560133455,-3.9381603011389594
300150,300846,0.001777848267720958,-3.937147601340984
300523,300448,0.0017986816534394546,-3.933956581035054
600756,002591,0.001836239745921328,-3.9282895385657848
300250,600571,0.0018496886681200649,-3.9262863869224875
600410,000555,0.0018755822537687196,-3.922467416678752
600410,002232,0.0019026362727601557,-3.9185291755777945
002771,002291,0.0019073157024850655,-3.9178532653874467
688365,300846,0.001962602527473438,-3.9099817773902577
600410,600571,0.0020257812980414625,-3.901234408444164
002649,600756,0.0020329969610166695,-3.9002515031594123
300383,300846,0.002171996989472844,-3.8819215824107656
600410,002609,0.0021949070176163345,-3.8790051705459163
600410,002264,0.002197764507999475,-3.878643393564777
600410,300264,0.002218930228787653,-3.875977141228409
600410,300170,0.002232564677315175,-3.874272034205882
002591,300846,0.0023138483046827403,-3.864302265490774
002591,300448,0.002326255640132472,-3.8628090184221358
300231,002232,0.0023584882699179206,-3.8589638826298556
002777,300288,0.002382441532315032,-3.8561377397073815
688365,002291,0.0024110863562930972,-3.852792319301018
600571,300464,0.0024245786362920648,-3.8512292585953185
300017,002195,0.0024250559395649156,-3.8511741109505953
600410,300231,0.002490869955421112,-3.8436642847860165
600571,002195,0.0025951498243078587,-3.832132180033044
300078,300464,0.0026211221930989557,-3.829326503942271
002095,002609,0.0026872454848313127,-3.8222975871839684
002264,002657,0.0027051320717564344,-3.8204236444650985
002331,300464,0.0027256385011767185,-3.818289226438027
300166,300248,0.0027370587097352355,-3.817106957754941
300523,300287,0.002757395233838384,-3.8150128435093116
600410,002291,0.002762801295756846,-3.814458559171764
600410,300271,0.0027844672147805207,-3.8122471295951605
300248,002232,0.0027907768701232872,-3.811606086475296
688004,002291,0.0028114866800060825,-3.809511369967301
002591,300288,0.0028340263776507986,-3.8072476568508873
688365,300399,0.002840377903022191,-3.806612753117013
300078,300079,0.0028885888091810647,-3.801835730945149
300078,688004,0.002927801497467593,-3.7980041293993554
300523,600756,0.003060424226898471,-3.7853860470131404
600571,002657,0.003151107759451215,-3.7770445308847864
600410,002331,0.0031723776708107174,-3.7751199977352865
600410,600131,0.0031880850291200044,-3.7737063695989566
300168,002331,0.00320009064117928,-3.772630199250107
002474,002649,0.003233080222210737,-3.769692036979769
600756,300288,0.003240856973940162,-3.769003426320405
002373,000555,0.003300615247774849,-3.763762062247015
600410,002591,0.003338887198445526,-3.7604508411200204
600271,002291,0.0033796697796658697,-3.756960535085842
300078,002331,0.0034193274206013543,-3.7536033824136683
300523,600410,0.00347560234166056,-3.7489003319707
300287,300150,0.003525793378935837,-3.744764297030825
002232,300271,0.00354340397699872,-3.7433258703741235
600410,002195,0.003616967560225468,-3.7373872413003784
688004,600271,0.0037054196096405153,-3.7303915646569066
600756,002131,0.0037280710264766077,-3.7286246837765407
600756,600797,0.0038296449951016167,-3.7208205721982996
300245,300170,0.0038705683988116044,-3.7177298106833803
688004,000555,0.0039127669713071075,-3.714573909534444
002777,002095,0.00394171633650398,-3.7124268403575154
600571,300271,0.003976705596909645,-3.7098509890756715
600756,002609,0.004019644285240753,-3.7067180995362654
688004,300592,0.004042438673419514,-3.70506739427642
300541,300464,0.004075536081265643,-3.702685663078679
002373,300168,0.0041326254674710185,-3.698618692654138
002131,300846,0.004171472984503028,-3.695880510669914
600410,600756,0.004267074390821441,-3.6892399823902013
300541,300166,0.00427557734958842,-3.6886559629394817
600410,002657,0.0042790748762577685,-3.688416045797093
300541,002609,0.004335830396377039,-3.6845476596340268
300523,300248,0.004345538883435357,-3.6838905772714776
300248,002195,0.004418019536358065,-3.6790269251203394
000555,300846,0.004448572542537746,-3.676998526378723
600571,300170,0.0047508754518835045,-3.65758627856296
300541,300271,0.004777622020767926,-3.655923437478057
300295,002195,0.004782829686002645,-3.6556006625233994
688004,300079,0.004917084254704726,-3.6473880720095546
300440,300846,0.004944087418493566,-3.6457609473915555
300166,300846,0.004958066239065874,-3.6449218043238436
002264,300464,0.005031850052245745,-3.640527961796183
300168,600571,0.005047830062845769,-3.639584079646404
002264,300271,0.0050963378002491675,-3.6367354644301697
600410,300464,0.005142532857569784,-3.6340455031860217
600756,300170,0.0051545343348170375,-3.6333502491367065
688365,300248,0.005192827706703169,-3.631141689288427
300846,300271,0.005221844456475417,-3.6294779990023613
300078,600571,0.005244137764702806,-3.628205501687321
600410,300541,0.005401545805112432,-3.6193581208589767
300295,002131,0.005505946101742293,-3.613618470813473
300872,000555,0.005607041793773778,-3.608153937041351
002649,002657,0.005645277053276516,-3.60611049336375
002373,002331,0.005704649928990962,-3.6029621358976462
002095,600756,0.005745213826035958,-3.600828212810691
000676,300017,0.005783514176451688,-3.598825877017374
300523,600797,0.005828305293778347,-3.5964994080615083
600410,002095,0.0062200055143981975,-3.5768177694662744
002095,300170,0.006273918067028277,-3.574197304837774
300541,002331,0.0063034418854391525,-3.5727709018548417
300440,300287,0.006421936027993698,-3.567106191793879
300383,002131,0.0064798110237631315,-3.5643737284166
300250,600131,0.006509582347254373,-3.5629767175512814
300166,002291,0.006686030012517541,-3.55481365458617
600410,000676,0.006706728671011813,-3.5538688651799752
002771,600571,0.006717399933524366,-3.5533828049415495
600410,300383,0.0069293186804932445,-3.543871926434463
002095,002232,0.007030717201503266,-3.539413762294184
300440,600410,0.007084235668200498,-3.5370840799327503
002095,300288,0.0071141175494619045,-3.53579020989625
002264,300170,0.007135379886468066,-3.534872544604587
000676,002195,0.007208506409998422,-3.5317351857625243
300166,002591,0.007222878427866349,-3.531121958789346
300250,002649,0.007240259600753253,-3.5303818055354763
300295,300290,0.007278666391406605,-3.528751971824484
300168,300464,0.007287919801866,-3.528360452965542
600410,002474,0.007342339058409302,-3.5260669620140974
000676,002291,0.007385782373011632,-3.524247025499552
300523,300383,0.00746258445369947,-3.521053096404184
600571,002331,0.0077272310296899365,-3.510269676886905
300166,300448,0.00781693013669338,-3.506690145767487
300166,002331,0.007874297085902976,-3.504420195866623
300541,300448,0.00793795098886833,-3.5019188294628174
300440,300166,0.0080219014473842,-3.498647333020454
300248,600131,0.008184470396969729,-3.4923987251369217
300248,300264,0.008301015662780678,-3.487987415614902
300541,002291,0.008305211476615877,-3.487829641796682
600410,300288,0.008340950972874746,-3.486488636614912
300078,002195,0.00834518060367949,-3.4863302756375054
300231,002095,0.008389059628175516,-3.484691647993621
300231,300288,0.008441293905760946,-3.4827510075068804
300168,002291,0.008462743857738927,-3.481957207884347
300168,002195,0.008691276749565045,-3.473610197702067
002131,600797,0.008886382151790289,-3.466638523422515
688004,600571,0.008928366014619247,-3.4651562888308196
300168,300017,0.008979029887444565,-3.463375906011435
300523,300399,0.009078573051661659,-3.4599039254324744
002095,002195,0.009088837848764126,-3.459547841228802
002264,002291,0.00918535242266805,-3.4562172750972846
300287,002131,0.009210360113625107,-3.4553594146537416
002649,300248,0.009274861188655356,-3.453156371537411
600410,600797,0.009307429911894536,-3.4520491909703903
600410,300017,0.009483086228436256,-3.4461368595481745
300078,300168,0.009505004794768354,-3.4454060060972824
600756,002657,0.009532628353769997,-3.444487070356524
600271,300592,0.00967297478734646,-3.439854737693443
300532,300872,0.009722338982402046,-3.4382396875525907
300231,002291,0.009751760439765124,-3.4372805893271314
688365,300150,0.009795532266369075,-3.4358584667483565
300078,300872,0.009912360059767962,-3.4320904291686603
300295,300518,0.00992585650654579,-3.4316576906059293
600410,300248,0.009973013478377021,-3.4301498069489655
300166,300288,0.010246038015331853,-3.4215428045170744
300078,002657,0.010266921040963412,-3.420892938089346
300448,300846,0.010286611094975869,-3.4202812761906363
002232,300846,0.010686628736378073,-3.4080758276310905
000676,300399,0.010736340020950553,-3.4065876074032553
600756,002232,0.01082494627906447,-3.403950144497897
300250,002591,0.010904573059483658,-3.4015963298796903
300166,300464,0.010969317403297802,-3.3996937112424717
300250,002331,0.011054060889365842,-3.3972184451018674
300872,300592,0.011180503088432535,-3.393556444217814
000676,300248,0.011255171481049049,-3.3914111896022665
300383,300448,0.011290230431071748,-3.3904082984674293
300166,300264,0.011301781004039068,-3.3900784914789437
300523,002609,0.011551462268068847,-3.3830215890971727
300541,002591,0.011562186592370476,-3.382721530272726
688004,002657,0.01160108918204426,-3.381635137297834
300250,600756,0.011660095628307133,-3.3799934915214367
688004,300523,0.011703987594035261,-3.3787771363913985
300264,002232,0.011714359643064342,-3.378490293644561
300166,002232,0.011879866492548402,-3.373943417570964
300532,002331,0.011881687738065784,-3.3738936974314324
300078,002777,0.011897555623685333,-3.3734607892320034
688004,002232,0.01199248569485221,-3.3708815662775584
300532,300383,0.012073427428258784,-3.3686966859654235
300248,300288,0.012189881686582813,-3.3655759165043984
600571,300399,0.01239790374582598,-3.360066564965407
002264,002095,0.012578611040712145,-3.355346799935513
300541,002232,0.012661048930224269,-3.353213607649964
300287,300166,0.012731615877712966,-3.3513973513529978
600756,300264,0.012749177727723058,-3.350946730335246
300287,600410,0.012794052396992262,-3.3497977813489976
300295,300017,0.01282271763195674,-3.349065718650514
300295,600131,0.01284778552398247,-3.34842671379804
300295,002232,0.013164806289287845,-3.3404394320255713
300383,000555,0.01324957146680643,-3.3383326598503884
300078,300017,0.013254004234943623,-3.3382228154495657
600756,300846,0.013301403754004229,-3.3370502792640733
000676,002131,0.013391911288410172,-3.334821601057652
300078,300271,0.01362196521473194,-3.3292161144686974
002095,600131,0.013711354220758648,-3.3270606270843777
300541,002131,0.013747573852623941,-3.3261907777273385
002657,300170,0.013779629380763938,-3.3254226214124896
002474,002264,0.013819645458782883,-3.324465917323466
300250,000676,0.01385301449957467,-3.323670000658427
002777,603918,0.014004009180976818,-3.320089523779583
300248,300448,0.014097436098322513,-3.317891169481414
300150,300271,0.014109868193719304,-3.317599610388315
002649,600131,0.014229125260276369,-3.3148142435984527
300295,300170,0.014355683794245516,-3.311880792881484
002649,300264,0.01451660727144852,-3.308183591841921
300295,002291,0.014526005609995106,-3.3079687853279998
002373,300592,0.014579132102626936,-3.306756837046388
300295,600756,0.01465422790817541,-3.3050503408618606
300150,600756,0.014720625885296044,-3.3035479075248673
600571,000555,0.014834294103568173,-3.300989670653638
600756,300448,0.014883780423669096,-3.299881317796646
300440,600797,0.014885411238400892,-3.299844847491138
300250,300231,0.01495143850579745,-3.2983712126456863
300078,002474,0.014959390987303063,-3.298194111659652
300078,002264,0.014962203728024646,-3.298131492056842
300168,600131,0.014997114942952796,-3.297355131216806
300295,603918,0.015004261765415808,-3.297196395472957
688004,300290,0.015006188565374909,-3.297153611347311
300168,002649,0.015023191870100957,-3.296776266741021
688365,300541,0.015203636664540849,-3.292794769648591
000555,300448,0.015432403516748915,-3.287806437176945
000676,300464,0.015492254691680488,-3.2865121085995894
002095,300399,0.0154934209324442,-3.2864869314619596
300078,300592,0.01559693240761155,-3.284258910267789
002401,300288,0.015688611099736197,-3.2822964179382166
002095,002331,0.0158768198268577,-3.278298985883044
600410,300399,0.015954572195304866,-3.27665972524316
600756,002291,0.016018284744817174,-3.2753216929715783
000555,002232,0.016140644187696715,-3.2727650742370815
300295,600410,0.01619753589620574,-3.271582154182326
300168,300288,0.01636363983750872,-3.268149200377982
300383,300170,0.016401082269179874,-3.2673795867841773
300168,000676,0.016401202499486126,-3.2673771179857707
300078,300264,0.01646632543938979,-3.2660422183449067
002264,300288,0.01648928364376043,-3.2655727223531827
300250,603918,0.016547315744164983,-3.2643885170996967
300250,002195,0.01666973426023055,-3.2619023455828775
002264,300017,0.016793660412192123,-3.2594018174016903
300168,002232,0.01683885284502729,-3.258493970008272
300168,603918,0.016889015814144315,-3.2574887707604394
300150,300264,0.016891143591147538,-3.2574461908428165
300168,002095,0.016916813428943966,-3.2569328702658713
300250,300464,0.01707151771625655,-3.2538536243921072
300541,300264,0.017216744608541383,-3.250985192601483
002264,002649,0.017275746099572286,-3.2498258843870236
688365,300166,0.017363772903139424,-3.2481026947551266
300248,002591,0.017460359272966408,-3.2462207262155025
300295,002095,0.017511494307515727,-3.2452280567503444
300168,300170,0.017516128857184562,-3.245138213075179
002264,000555,0.017543141466894577,-3.2446149703336786
002264,002195,0.017645349026791376,-3.242641539286527
300541,603918,0.017687557605132513,-3.2418294907967264
688004,300017,0.017760525700819638,-3.2404296530438566
300078,300231,0.0179840494362926,-3.236172613361975
300287,300383,0.018054009696685257,-3.234849718723559
300541,600131,0.018136607096983226,-3.233293623081626
600756,300464,0.01815771776297193,-3.2328969024301477
600131,300271,0.018165372853084394,-3.232753144314995
300078,300290,0.018196539403112843,-3.2321684008857128
300248,300464,0.018348701977685684,-3.2293260510760566
300078,002095,0.018395832800629845,-3.2284498396522343
002373,300464,0.01841592390730172,-3.2280769210348486
300541,002095,0.018704916719538424,-3.222751760613258
000676,300271,0.018760443314829223,-3.2217368298005686
300541,002195,0.018816753113507913,-3.220710257811381
300078,002401,0.01896897601269398,-3.2179484750995773
300168,002657,0.018982044188047855,-3.2177122813277745
600756,002331,0.01898993294795854,-3.2175697688018166
300541,002657,0.019069764645909364,-3.216130486702204
688004,002195,0.019153156903363812,-3.2146326131897833
300168,300231,0.019323156916827303,-3.2115966419678297
300078,000676,0.01945785005735865,-3.2092076932983433
600571,600131,0.01953097974671173,-3.2079166789042315
688004,002649,0.01959067900401951,-3.206865881298957
002264,603918,0.019603084963733714,-3.206647867752469
300231,300399,0.019698606630368536,-3.2049732515677705
300592,002609,0.01977961516196935,-3.2035586028300207
300078,002232,0.020036354974372617,-3.1991082551100782
002474,002591,0.02010164783766955,-3.1979843840282993
300440,002291,0.020278077936790158,-3.1949633447438774
300248,300271,0.020395284716249743,-3.1929690113277096
300250,300248,0.020412430528563324,-3.1926781027458526
300440,300448,0.02057795883098075,-3.1898805005350273
300541,300288,0.020831412296569072,-3.185634545820807
300440,300248,0.02084224205744943,-3.1854541233151985
300231,603918,0.02095988808748298,-3.1834993845455313
600756,600131,0.02106708626708912,-3.1817265214226036
002777,600756,0.021135203257947318,-3.180604056235413
002474,002095,0.02128953230046776,-3.1780725195715562
002649,002591,0.02130472449637491,-3.177824176368389
300168,300264,0.021349634692478414,-3.1770909377469474
300541,300017,0.02139442264519634,-3.1763610267963114
002264,600756,0.021483984686919935,-3.1749053985671116
300078,300541,0.021538933742806347,-3.1740149297873073
000676,002095,0.021721344505445838,-3.171072959222212
600271,300290,0.02174265908682152,-3.170730591206179
002771,300231,0.0217426721581308,-3.1707303813360115
300250,300271,0.02186823150265577,-3.168719456092115
002331,002232,0.022340006432586042,-3.1612519739583465
002095,300464,0.022508254524272395,-3.1586218803110597
002373,600571,0.02260278235046834,-3.1571516570498415
600756,300399,0.022673105352246054,-3.1560613475513204
300166,300399,0.0226972934620179,-3.1556870039398333
002095,300264,0.0227291294194351,-3.15519482535194
002095,002291,0.02293973903183328,-3.151953776207221
688004,002331,0.02299309525808279,-3.1511367699259463
300448,002232,0.023119158606347803,-3.149212943421225
600756,002195,0.023119304226284852,-3.149210726395175
300448,300264,0.023137849838633828,-3.148928472837672
000676,600131,0.023235455410577737,-3.1474461871020742
002771,002401,0.02332653424878383,-3.1460678652234115
000676,002331,0.02341563899551335,-3.1447239105836737
002264,300448,0.023708176540645515,-3.140342449555136
002264,002232,0.024226676435434483,-3.132690048140303
300168,002264,0.024354738733985786,-3.1308217855019636
002657,002331,0.024389121283233388,-3.130321631313653
600571,300448,0.02441435094762177,-3.129955008354677
300017,002291,0.024469557214455526,-3.129153920523106
300872,300271,0.02453184330833827,-3.1282519668876154
002095,002131,0.024564915569194302,-3.127773855433136
300440,300872,0.024719490290802986,-3.125546563302306
002401,603918,0.02486498620762188,-3.123461024955098
300518,300017,0.024954976680794955,-3.122176356642279
002095,300271,0.02498179891833178,-3.121794224766336
002474,600756,0.024999143809583547,-3.1215473030880054
000676,300170,0.025003251512574497,-3.1214888474786644
300295,000676,0.02502777177941816,-3.1211400780979255
300078,603918,0.025043750417038612,-3.120912960737284
300541,300170,0.025054252519652844,-3.120763753755922
002264,300248,0.025083617604320443,-3.1203468394867238
300440,300079,0.02509681087130627,-3.120159663298916
002264,300541,0.02519872344949574,-3.118716651264282
300250,002291,0.02528465364917312,-3.1175038366413803
300150,300170,0.025301034273053045,-3.1172730439447567
002373,002777,0.025329386503714642,-3.116873882522001
002373,002195,0.025395772926907624,-3.1159407524138842
688365,600797,0.02540842135323734,-3.1157632037078384
600271,300017,0.025411239737511502,-3.1157236517954483
300166,300271,0.02550794887955625,-3.1143687610521265
300168,300541,0.025542385175406968,-3.113887376758366
000676,603918,0.025550964659144016,-3.1137675311881683
000676,002264,0.02561058591020319,-3.1129356451314596
300440,002131,0.02563893703228366,-3.112540650446428
300383,002649,0.025672775650524116,-3.1120696939974883
002095,300248,0.025689356752770436,-3.1118391176607725
002373,002264,0.02577190668053115,-3.1106930813987113
002474,300017,0.026054645309570593,-3.1067915997034525
300231,002264,0.026171711398399786,-3.1051868585259497
688365,002609,0.026196070428791192,-3.104853720293656
002771,300250,0.026250730165228435,-3.1041071517344583
002474,002609,0.026286358546277366,-3.1036212408375254
300295,600797,0.02630651930842544,-3.10334653263208
000555,300264,0.026482196381706305,-3.100960397215995
688004,300264,0.02648566438095673,-3.10091343002698
002264,300846,0.026647923793585025,-3.0987218260573726
300290,002195,0.02702277606357007,-3.0937022264204894
300231,300017,0.027241118250180517,-3.090805889128295
600797,002232,0.027402145445243647,-3.088682564023363
002373,002657,0.02743852036494778,-3.0882044005267595
002095,300166,0.027576918642815227,-3.086390046965163
300440,002401,0.02774852449931996,-3.084151152472646
002771,300078,0.02775234581321408,-3.0841014319362277
002474,300288,0.028039505996468903,-3.080381745674703
300383,002657,0.02815173869523698,-3.078936812643145
300295,300250,0.02822082305018465,-3.078049838967863
688004,688365,0.028223138059814645,-3.0780201487483456
300295,002777,0.028376880345630455,-3.0760530362537777
600756,300271,0.028452387157859416,-3.07509027167825
300150,002591,0.028478248785719144,-3.0747610200961706
300078,600131,0.028625925311544436,-3.0728857915277583
600571,002649,0.028669840146050386,-3.0723297465953743
300168,002474,0.02884473115387966,-3.070122491630574
300383,002264,0.028849158405388976,-3.070066764970076
002264,600797,0.02891425911609421,-3.069248172306122
300295,600571,0.029153401039353943,-3.06625459142998
600571,300288,0.029216797679593193,-3.065464508730536
688004,002264,0.02924866574450096,-3.0650679045671305
688004,300464,0.02928616547541164,-3.064601685393844
600131,300846,0.02941567069295622,-3.062995507473988
002095,300017,0.02945519805827149,-3.0625064746373667
000555,002195,0.02958028239441279,-3.060962611396134
300231,300170,0.02962411098856308,-3.06042297109747
300872,002331,0.029638341494353702,-3.0602479042200224
002331,000555,0.02966610503630859,-3.059906557192906
300150,002131,0.029669317597336903,-3.0598670770081564
603918,300288,0.029730852289759024,-3.0591115604919197
002609,300264,0.029803335547558457,-3.0582233273743022
000676,300288,0.029861330953581573,-3.0575139586783893
600571,300248,0.02990782802728224,-3.0569460793439642
300440,688365,0.030014335998852518,-3.055648104558545
300383,603918,0.0301982455423061,-3.0534160777065558
300264,300846,0.030227311569443367,-3.053064377137494
002331,300288,0.030417630421517152,-3.0507686015963396
002649,300166,0.030440976052657685,-3.050487831358621
300440,300168,0.030725476735808555,-3.0470808851811193
300250,300264,0.03088477389131644,-3.0451849846013004
300383,300264,0.03094010249004707,-3.044528429323591
300250,300168,0.030941855735521995,-3.0445076408196194
300250,002474,0.030947795294855116,-3.0444372219899627
300166,002657,0.031076775684035305,-3.0429108719147933
600571,002095,0.031106971177439616,-3.042554317982406
300287,300399,0.031130265762382578,-3.0422794523471226
688004,603918,0.03115741445110745,-3.0419593306794432
300231,600131,0.031226599487118326,-3.0411446119426957
002657,002195,0.0313864180873355,-3.039268450034682
300170,002195,0.03151913943621445,-3.0377165542426106
002095,300846,0.03155594440469302,-3.0372871816585683
688365,600756,0.03163043716540947,-3.036419438122897
688004,002474,0.03174920557265873,-3.0350395256432914
300150,600797,0.031805286725079505,-3.0343894696587475
300166,002195,0.031887473891394624,-3.0334385666052976
300440,002649,0.03197929549972896,-3.0323786520189806
300248,002609,0.03237943818540481,-3.027789676516707
300231,002657,0.03246493696282451,-3.026815391984892
300231,300464,0.03255116755330222,-3.0258349705328715
000676,002649,0.03257254728978061,-3.025592228844752
600571,002264,0.032649900306327334,-3.0247151040358036
300295,002401,0.03265088236034645,-3.0247039796191837
600571,300231,0.03271246452904715,-3.0240069611990377
000676,002591,0.032716485387901714,-3.023961489774584
300872,300168,0.03282639874297752,-3.0227203238556384
000676,002657,0.03318468819159565,-3.0186987500111004
002264,002609,0.03323747462175571,-3.0181093686000233
002771,603918,0.033241152428129736,-3.0180683339901004
300440,300150,0.033490709204361264,-3.015292881126868
000555,300288,0.03354585144616859,-3.014681978521137
002657,002232,0.03358614478475535,-3.0142361193624234
300150,300541,0.03368431783708418,-3.013151694643252
300248,300846,0.03382732811077482,-3.011576772473492
000555,002591,0.033879752391824405,-3.011000853280521
300287,300448,0.0339447551024568,-3.010287796956844
300287,002195,0.034244819478853564,-3.007011095429442
002095,002591,0.034374151213972595,-3.0056062762041806
300532,002264,0.03444032096313786,-3.0048892582519744
002264,002131,0.0344528254654356,-3.0047538898157704
002649,300288,0.03446528935285858,-3.004619002376012
300448,600131,0.03452008126804297,-3.0040265185131894
300440,300271,0.034524059467972754,-3.003983531820348
300150,002649,0.03480217755995299,-3.0009886321740074
002095,000555,0.03488121379271374,-3.0001412244555175
300288,002232,0.035022433372838516,-2.9986311303913977
002095,002657,0.03521489034637406,-2.996581398431449
002095,300448,0.03524419079690168,-2.996270168518917
300399,300170,0.035259595846913995,-2.996106623376788
300383,300288,0.035608163223196765,-2.992422135364054
002373,002291,0.035733028336159454,-2.991109663379717
002474,002232,0.035827280392125065,-2.9901215276672484
300166,600131,0.03583187688123947,-2.990073394284707
002331,300264,0.0358970283660458,-2.989391701991724
300440,603918,0.03592819923881019,-2.9890659240462494
