date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300440,9.4,9.69,10.05,9.3,94696,92176853.0,8.01,3.53,0.33,2.14
2020-09-14,300440,9.69,10.1,10.23,9.52,103442,102995983.0,7.33,4.23,0.41,2.34
2020-09-15,300440,10.1,9.93,10.19,9.84,59358,59257162.0,3.47,-1.68,-0.17,1.34
2020-09-16,300440,9.98,9.67,10.04,9.56,55876,54365379.0,4.83,-2.62,-0.26,1.26
2020-09-17,300440,9.68,9.92,10.05,9.63,53750,52928794.0,4.34,2.59,0.25,1.22
2020-09-18,300440,9.97,10.03,10.03,9.81,41901,41620525.0,2.22,1.11,0.11,0.95
2020-09-21,300440,9.95,9.9,10.18,9.82,46614,46437566.0,3.59,-1.3,-0.13,1.05
2020-09-22,300440,9.84,9.61,9.86,9.52,50516,48920878.0,3.43,-2.93,-0.29,1.14
2020-09-23,300440,9.61,9.61,9.68,9.56,28323,27237663.0,1.25,0.0,0.0,0.64
2020-09-24,300440,9.53,9.28,9.54,9.23,38732,36188238.0,3.23,-3.43,-0.33,0.88
2020-09-25,300440,9.32,9.35,9.41,9.24,23907,22349447.0,1.83,0.75,0.07,0.54
2020-09-28,300440,9.32,8.96,9.45,8.92,53078,48170442.0,5.67,-4.17,-0.39,1.2
2020-09-29,300440,9.03,8.74,9.08,8.65,74162,65639900.0,4.8,-2.46,-0.22,1.68
2020-09-30,300440,8.76,8.68,8.85,8.52,63203,54592333.0,3.78,-0.69,-0.06,1.43
2020-10-09,300440,8.76,9.02,9.05,8.76,44569,39881641.0,3.34,3.92,0.34,1.01
2020-10-12,300440,9.06,9.35,9.4,9.03,68955,63740682.0,4.1,3.66,0.33,1.56
2020-10-13,300440,9.39,9.59,9.59,9.25,58101,54930681.0,3.64,2.57,0.24,1.31
2020-10-14,300440,9.53,9.39,9.6,9.32,36640,34406735.0,2.92,-2.09,-0.2,0.83
2020-10-15,300440,9.58,9.43,9.58,9.24,44685,41803106.0,3.62,0.43,0.04,1.01
2020-10-16,300440,9.43,9.52,9.68,9.35,50699,48313251.0,3.5,0.95,0.09,1.15
2020-10-19,300440,9.55,9.57,9.83,9.5,80827,78405852.0,3.47,0.53,0.05,1.83
2020-10-20,300440,9.74,9.79,9.94,9.47,75040,73380589.0,4.91,2.3,0.22,1.7
2020-10-21,300440,9.71,9.79,9.88,9.65,54730,53530458.0,2.35,0.0,0.0,1.24
2020-10-22,300440,9.79,9.97,10.03,9.69,65509,64877537.0,3.47,1.84,0.18,1.48
2020-10-23,300440,9.94,9.94,10.18,9.86,78610,78852070.0,3.21,-0.3,-0.03,1.78
2020-10-26,300440,9.86,9.86,9.98,9.8,50406,49771614.0,1.81,-0.8,-0.08,1.14
2020-10-27,300440,9.87,10.03,10.03,9.79,54630,54141771.0,2.43,1.72,0.17,1.24
2020-10-28,300440,10.0,10.08,10.12,9.81,44964,44896850.0,3.09,0.5,0.05,1.02
2020-10-29,300440,9.95,9.82,9.95,9.7,56083,55041410.0,2.48,-2.58,-0.26,1.27
2020-10-30,300440,9.82,9.35,9.84,9.3,66301,63509614.0,5.5,-4.79,-0.47,1.5
