date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300464,19.25,20.0,20.22,18.67,121010,238718288.0,7.95,2.56,0.5,4.69
2020-09-14,300464,20.5,20.06,21.0,19.45,150598,303263936.0,7.75,0.3,0.06,5.83
2020-09-15,300464,19.6,20.42,20.98,19.0,162002,323912048.0,9.87,1.79,0.36,6.27
2020-09-16,300464,20.03,19.39,20.38,19.28,109860,215943588.0,5.39,-5.04,-1.03,4.25
2020-09-17,300464,19.1,19.34,19.92,18.83,76554,148728007.0,5.62,-0.26,-0.05,2.96
2020-09-18,300464,19.35,19.57,19.75,18.97,82448,160072378.0,4.03,1.19,0.23,3.19
2020-09-21,300464,19.68,19.88,20.15,19.4,102356,202787128.0,3.83,1.58,0.31,3.96
2020-09-22,300464,20.2,18.85,20.44,18.69,125807,243149563.0,8.8,-5.18,-1.03,4.87
2020-09-23,300464,18.79,18.85,19.24,18.4,73133,137313477.0,4.46,0.0,0.0,2.83
2020-09-24,300464,18.84,18.11,19.01,18.04,67309,123267537.0,5.15,-3.93,-0.74,2.61
2020-09-25,300464,18.24,18.06,18.54,17.89,46831,85036981.0,3.59,-0.28,-0.05,1.81
2020-09-28,300464,18.48,18.11,18.48,17.63,56159,100929658.0,4.71,0.28,0.05,2.17
2020-09-29,300464,18.38,18.17,18.48,17.96,43345,79115568.0,2.87,0.33,0.06,1.68
2020-09-30,300464,18.2,18.08,18.28,17.93,34299,62037246.0,1.93,-0.5,-0.09,1.34
2020-10-09,300464,18.45,19.0,19.29,18.29,66546,125856639.0,5.53,5.09,0.92,2.61
2020-10-12,300464,19.35,20.31,20.38,19.19,132934,262794778.0,6.26,6.89,1.31,5.21
2020-10-13,300464,20.4,20.0,20.61,19.7,82081,164525703.0,4.48,-1.53,-0.31,3.22
2020-10-14,300464,20.75,19.98,22.08,19.97,184965,386263576.0,10.55,-0.1,-0.02,7.25
2020-10-15,300464,19.73,18.9,19.91,18.11,151806,288127376.0,9.01,-5.41,-1.08,5.95
2020-10-16,300464,18.6,19.39,19.8,18.3,126428,245107316.0,7.94,2.59,0.49,4.95
2020-10-19,300464,19.39,19.43,19.58,18.92,71727,138063807.0,3.4,0.21,0.04,2.81
2020-10-20,300464,19.49,19.14,19.49,18.91,54607,104099402.0,2.99,-1.49,-0.29,2.14
2020-10-21,300464,19.05,20.83,21.1,18.2,181862,358673008.0,15.15,8.83,1.69,7.13
2020-10-22,300464,20.31,19.78,20.56,19.2,127294,253617187.0,6.53,-5.04,-1.05,4.99
2020-10-23,300464,19.45,19.4,19.78,19.05,93023,180315136.0,3.69,-1.92,-0.38,3.64
2020-10-26,300464,19.0,20.14,20.37,18.6,108340,215359187.0,9.12,3.81,0.74,4.24
2020-10-27,300464,20.4,19.71,20.42,19.31,110254,218559395.0,5.51,-2.14,-0.43,4.32
2020-10-28,300464,19.35,19.72,20.13,19.18,82355,162353236.0,4.82,0.05,0.01,3.23
