date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300245,11.9,12.24,12.47,11.79,175251,214186533.0,5.61,0.91,0.11,5.69
2020-09-14,300245,12.31,12.76,12.9,12.22,195826,246795379.0,5.56,4.25,0.52,6.36
2020-09-15,300245,12.71,12.29,12.78,12.12,169956,211376537.0,5.17,-3.68,-0.47,5.52
2020-09-16,300245,12.3,11.91,12.39,11.65,185259,220321938.0,6.02,-3.09,-0.38,6.02
2020-09-17,300245,11.88,11.94,12.06,11.72,118338,140835043.0,2.85,0.25,0.03,3.84
2020-09-18,300245,11.98,11.83,11.98,11.5,124575,146591732.0,4.02,-0.92,-0.11,4.05
2020-09-21,300245,11.81,11.74,12.07,11.59,99331,117001869.0,4.06,-0.76,-0.09,3.23
2020-09-22,300245,11.57,11.31,11.72,11.3,98669,113671133.0,3.58,-3.66,-0.43,3.2
2020-09-23,300245,11.45,11.72,11.81,11.35,92907,107595236.0,4.07,3.63,0.41,3.02
2020-09-24,300245,11.55,11.29,11.73,11.2,78594,89736446.0,4.52,-3.67,-0.43,2.55
2020-09-25,300245,11.38,11.1,11.47,11.04,54084,60801774.0,3.81,-1.68,-0.19,1.76
2020-09-28,300245,11.21,11.04,11.29,10.82,59452,65670391.0,4.23,-0.54,-0.06,1.93
2020-09-29,300245,11.14,11.17,11.32,11.0,47528,53199553.0,2.9,1.18,0.13,1.54
2020-09-30,300245,11.16,10.98,11.27,10.95,54364,60351060.0,2.86,-1.7,-0.19,1.77
2020-10-09,300245,11.21,11.47,11.58,11.17,74396,84819176.0,3.73,4.46,0.49,2.42
2020-10-12,300245,11.54,11.91,11.92,11.53,99253,117039970.0,3.4,3.84,0.44,3.22
2020-10-13,300245,11.84,11.88,11.93,11.73,83077,98328631.0,1.68,-0.25,-0.03,2.7
2020-10-14,300245,11.89,11.68,11.95,11.55,72097,84206327.0,3.37,-1.68,-0.2,2.34
2020-10-15,300245,11.63,11.71,11.78,11.48,62648,73053119.0,2.57,0.26,0.03,2.03
2020-10-16,300245,11.67,11.84,11.94,11.45,78076,91376610.0,4.18,1.11,0.13,2.54
