date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300290,7.99,8.25,8.29,7.88,60903,49558367.0,5.11,2.87,0.23,1.16
2020-09-14,300290,8.3,8.4,8.48,8.21,68653,57456373.0,3.27,1.82,0.15,1.31
2020-09-15,300290,8.4,8.39,8.5,8.29,49611,41513948.0,2.5,-0.12,-0.01,0.94
2020-09-16,300290,8.39,8.49,8.52,8.23,79707,66987390.0,3.46,1.19,0.1,1.51
2020-09-17,300290,8.5,8.49,8.57,8.39,58456,49389679.0,2.12,0.0,0.0,1.11
2020-09-18,300290,8.54,8.33,8.54,8.31,40613,33992380.0,2.71,-1.88,-0.16,0.77
2020-09-21,300290,8.38,8.16,8.4,8.16,39195,32315323.0,2.88,-2.04,-0.17,0.74
2020-09-22,300290,8.12,8.0,8.19,8.0,35497,28683958.0,2.33,-1.96,-0.16,0.67
2020-09-23,300290,7.99,8.06,8.1,7.98,37452,30081348.0,1.5,0.75,0.06,0.71
2020-09-24,300290,8.06,7.65,8.27,7.65,151219,118931151.0,7.69,-5.09,-0.41,2.86
2020-09-25,300290,7.65,7.72,7.74,7.55,49724,38060233.0,2.48,0.92,0.07,0.94
2020-09-28,300290,7.72,7.59,7.8,7.53,33179,25347758.0,3.5,-1.68,-0.13,0.63
2020-09-29,300290,7.64,7.67,7.71,7.46,63302,47877568.0,3.29,1.05,0.08,1.2
2020-09-30,300290,7.56,7.9,7.96,7.54,59588,46099619.0,5.48,3.0,0.23,1.13
2020-10-09,300290,7.96,7.93,8.02,7.8,42413,33527809.0,2.78,0.38,0.03,0.8
2020-10-12,300290,7.99,8.02,8.03,7.91,35668,28499865.0,1.51,1.13,0.09,0.68
2020-10-13,300290,8.0,7.93,8.05,7.89,53949,42848769.0,2.0,-1.12,-0.09,1.02
2020-10-14,300290,7.96,7.82,8.01,7.81,39442,31144924.0,2.52,-1.39,-0.11,0.75
2020-10-15,300290,7.91,7.69,7.92,7.69,38098,29655758.0,2.94,-1.66,-0.13,0.72
2020-10-16,300290,7.77,7.72,7.77,7.61,22101,16981171.0,2.08,0.39,0.03,0.42
2020-10-19,300290,7.72,7.49,7.82,7.41,102233,77902358.0,5.31,-2.98,-0.23,1.93
