date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300518,28.39,29.15,29.28,27.78,29158,83564377.0,5.23,1.64,0.47,4.71
2020-09-14,300518,29.47,30.22,30.45,28.68,27054,80701308.0,6.07,3.67,1.07,4.37
2020-09-15,300518,30.3,30.63,31.69,29.98,34263,105782444.0,5.66,1.36,0.41,5.53
2020-09-16,300518,30.29,30.62,31.56,30.0,25951,79176813.0,5.09,-0.03,-0.01,4.19
2020-09-17,300518,30.48,31.5,31.92,30.48,31557,98337508.0,4.7,2.87,0.88,5.09
2020-09-18,300518,31.3,31.03,31.55,30.38,27449,84809387.0,3.71,-1.49,-0.47,4.43
2020-09-21,300518,31.03,33.1,34.23,30.51,64877,212798400.0,11.99,6.67,2.07,10.47
2020-09-22,300518,33.5,34.18,35.8,33.5,88602,306677316.0,6.95,3.26,1.08,14.3
2020-09-23,300518,34.77,33.61,35.2,33.26,50470,171147874.0,5.68,-1.67,-0.57,8.14
2020-09-24,300518,34.0,32.1,34.13,31.58,41442,133890778.0,7.59,-4.49,-1.51,6.69
2020-09-25,300518,32.11,32.56,33.16,32.11,32479,106040011.0,3.27,1.43,0.46,5.24
2020-09-28,300518,33.03,34.9,35.78,32.98,63183,221469454.0,8.6,7.19,2.34,10.2
2020-09-29,300518,41.88,41.88,41.88,41.88,30227,126588582.0,0.0,20.0,6.98,4.88
2020-09-30,300518,42.78,38.69,44.05,37.54,138029,556441627.0,15.54,-7.62,-3.19,22.27
2020-10-09,300518,38.67,44.92,45.65,38.3,125266,523351568.0,19.0,16.1,6.23,20.21
2020-10-12,300518,45.75,46.57,47.97,42.25,122325,550087912.0,12.73,3.67,1.65,19.74
2020-10-13,300518,45.5,45.25,47.25,43.8,88820,400368144.0,7.41,-2.83,-1.32,14.33
2020-10-14,300518,43.8,40.84,43.98,40.7,98768,412855332.0,7.25,-9.75,-4.41,15.94
2020-10-15,300518,39.73,42.59,43.15,38.52,91025,372062423.0,11.34,4.29,1.75,14.69
2020-10-16,300518,42.0,44.44,45.57,41.58,85669,375086048.0,9.37,4.34,1.85,13.82
2020-10-19,300518,44.0,42.97,47.53,42.85,75068,337885520.0,10.53,-3.31,-1.47,12.11
2020-10-20,300518,44.6,47.12,49.44,43.0,96074,439066128.0,14.99,9.66,4.15,15.5
2020-10-21,300518,47.21,54.9,56.54,47.21,164401,876096208.0,19.8,16.51,7.78,26.53
2020-10-22,300518,52.18,53.2,55.97,50.6,130108,687044448.0,9.78,-3.1,-1.7,21.0
2020-10-23,300518,52.0,51.2,54.58,50.5,87281,459416880.0,7.67,-3.76,-2.0,14.08
2020-10-26,300518,50.05,50.27,51.16,47.32,58323,286298208.0,7.5,-1.82,-0.93,9.41
2020-10-27,300518,49.8,52.1,52.16,48.8,53489,272940096.0,6.68,3.64,1.83,8.63
2020-10-28,300518,50.65,50.85,52.88,49.88,47137,242101960.0,5.76,-2.4,-1.25,7.61
2020-10-29,300518,49.2,49.66,51.99,48.5,42860,215388134.0,6.86,-2.34,-1.19,6.92
2020-10-30,300518,50.68,47.05,54.0,46.66,74343,379228960.0,14.78,-5.26,-2.61,12.0
2020-11-02,300518,49.0,48.65,52.87,47.31,67261,332741952.0,11.82,3.4,1.6,10.85
2020-11-03,300518,49.0,49.33,50.26,47.31,52619,257160973.0,6.06,1.4,0.68,8.49
2020-11-04,300518,49.34,48.06,50.0,47.53,36305,175657869.0,5.01,-2.57,-1.27,5.86
2020-11-05,300518,48.7,46.2,48.75,44.69,52398,242250845.0,8.45,-3.87,-1.86,8.46
2020-11-06,300518,46.0,44.68,46.8,43.74,43716,196526621.0,6.62,-3.29,-1.52,7.05
2020-11-09,300518,45.08,47.6,47.81,44.68,47395,222382996.0,7.01,6.54,2.92,7.65
2020-11-10,300518,47.92,46.72,48.03,46.1,27410,129116006.0,4.05,-1.85,-0.88,4.42
2020-11-11,300518,46.51,46.26,47.38,45.67,24920,116193928.0,3.66,-0.98,-0.46,4.02
2020-11-12,300518,46.21,45.0,46.85,44.51,25652,116273398.0,5.06,-2.72,-1.26,4.14
2020-11-13,300518,45.28,45.34,45.99,44.31,16473,74350574.0,3.73,0.76,0.34,2.66
2020-11-16,300518,45.34,45.08,46.26,44.5,19513,88347747.0,3.88,-0.57,-0.26,3.15
2020-11-17,300518,45.07,43.53,45.13,43.01,18864,82797055.0,4.7,-3.44,-1.55,3.04
2020-11-18,300518,43.12,44.67,45.39,43.12,25933,115904438.0,5.21,2.62,1.14,4.18
2020-11-19,300518,44.55,45.51,45.94,43.61,18102,81646764.0,5.22,1.88,0.84,2.92
2020-11-20,300518,45.99,46.83,47.69,45.06,26502,124005256.0,5.78,2.9,1.32,4.28
2020-11-23,300518,46.44,43.24,46.99,42.9,36484,159933384.0,8.73,-7.67,-3.59,5.89
2020-11-24,300518,43.14,42.2,43.66,41.7,22325,94571877.0,4.53,-2.41,-1.04,3.6
2020-11-25,300518,42.49,40.51,42.82,40.47,25800,106077624.0,5.57,-4.0,-1.69,4.16
2020-11-26,300518,40.11,39.04,40.95,38.69,23080,90627642.0,5.58,-3.63,-1.47,3.72
2020-11-27,300518,38.99,40.0,40.0,38.01,23931,92595533.0,5.1,2.46,0.96,3.86
2020-11-30,300518,39.31,39.09,40.05,37.61,24838,97217755.0,6.1,-2.28,-0.91,4.01
2020-12-01,300518,39.26,41.27,42.68,38.36,32722,134211546.0,11.05,5.58,2.18,5.28
2020-12-02,300518,41.5,41.26,41.78,40.62,16696,68658679.0,2.81,-0.02,-0.01,2.69
2020-12-03,300518,41.28,41.8,42.98,41.27,23708,99899721.0,4.14,1.31,0.54,3.83
2020-12-04,300518,41.58,41.86,42.28,41.3,12718,53208440.0,2.34,0.14,0.06,2.05
2020-12-07,300518,42.04,42.5,43.5,42.04,20215,86607168.0,3.49,1.53,0.64,3.26
2020-12-08,300518,42.73,42.85,43.47,42.24,15482,66395534.0,2.89,0.82,0.35,2.5
2020-12-09,300518,43.0,41.88,43.23,41.65,13486,56978612.0,3.69,-2.26,-0.97,2.18
2020-12-10,300518,41.78,39.69,41.78,39.4,28238,113925604.0,5.68,-5.23,-2.19,5.46
2020-12-11,300518,39.57,39.06,39.65,31.76,24429,94583813.0,19.88,-1.59,-0.63,4.73
2020-12-14,300518,40.01,39.75,40.48,37.62,20982,81476191.0,7.32,1.77,0.69,4.06
2020-12-15,300518,40.2,39.69,40.78,39.32,14284,57080143.0,3.67,-0.15,-0.06,2.76
2020-12-16,300518,40.0,38.44,40.42,38.4,12259,48013416.0,5.09,-3.15,-1.25,2.37
2020-12-17,300518,38.51,39.55,39.95,37.69,14873,58146967.0,5.88,2.89,1.11,2.88
2020-12-18,300518,39.57,39.06,39.92,38.78,10709,42144027.0,2.88,-1.24,-0.49,2.07
2020-12-21,300518,39.46,38.66,40.38,38.55,17041,66874438.0,4.69,-1.02,-0.4,3.3
2020-12-22,300518,39.0,37.41,39.06,37.4,12152,46064196.0,4.29,-3.23,-1.25,2.35
2020-12-23,300518,37.6,37.42,38.09,36.87,9997,37441312.0,3.26,0.03,0.01,1.93
2020-12-24,300518,37.96,36.17,38.16,36.1,13002,47886226.0,5.51,-3.34,-1.25,2.52
2020-12-25,300518,36.3,36.3,36.8,35.14,11597,42008722.0,4.59,0.36,0.13,2.24
2020-12-28,300518,36.3,35.51,36.57,35.0,12796,45625429.0,4.33,-2.18,-0.79,2.48
2020-12-29,300518,35.78,36.1,38.3,35.3,21054,77355663.0,8.45,1.66,0.59,4.07
2020-12-30,300518,36.23,36.1,37.9,35.52,18705,68322678.0,6.59,0.0,0.0,3.62
2020-12-31,300518,36.14,36.28,36.89,35.84,10211,37060706.0,2.91,0.5,0.18,1.98
2021-01-04,300518,36.1,37.28,37.5,35.9,12384,45643093.0,4.41,2.76,1.0,2.4
2021-01-05,300518,37.35,36.93,37.58,36.4,17178,63495646.0,3.17,-0.94,-0.35,3.32
2021-01-06,300518,36.56,34.96,36.77,34.34,19460,68368080.0,6.58,-5.33,-1.97,3.77
2021-01-07,300518,34.71,32.52,35.02,32.24,17011,56556681.0,7.95,-6.98,-2.44,3.29
2021-01-08,300518,32.86,32.93,33.39,31.84,13511,44295821.0,4.77,1.26,0.41,2.61
2021-01-11,300518,33.19,32.73,33.59,32.61,12355,40835860.0,2.98,-0.61,-0.2,2.39
2021-01-12,300518,33.0,31.97,33.34,31.9,12004,39067927.0,4.4,-2.32,-0.76,2.32
2021-01-13,300518,32.83,30.89,32.83,30.53,11834,36976371.0,7.19,-3.38,-1.08,2.29
2021-01-14,300518,30.92,30.94,31.58,30.14,10292,31791668.0,4.66,0.16,0.05,1.99
2021-01-15,300518,31.6,31.84,32.42,30.88,12406,39258957.0,4.98,2.91,0.9,2.4
2021-01-18,300518,31.84,33.91,34.6,31.84,14480,48282480.0,8.67,6.5,2.07,2.8
2021-01-19,300518,33.57,35.75,36.36,33.42,16220,57357842.0,8.67,5.43,1.84,3.14
