date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300523,44.16,45.72,46.66,43.85,14641,66334523.0,6.39,3.91,1.72,0.64
2020-09-14,300523,45.75,45.73,46.63,45.28,14843,68185851.0,2.95,0.02,0.01,0.65
2020-09-15,300523,47.12,45.51,47.46,45.0,12900,58648406.0,5.38,-0.48,-0.22,0.57
2020-09-16,300523,45.25,43.84,45.49,43.73,19564,86527031.0,3.87,-3.67,-1.67,0.86
2020-09-17,300523,44.3,44.47,44.74,43.51,13793,60947648.0,2.81,1.44,0.63,0.61
2020-09-18,300523,44.66,45.35,45.45,44.19,10329,46458380.0,2.83,1.98,0.88,0.45
2020-09-21,300523,45.3,44.63,45.78,44.6,10354,46576293.0,2.6,-1.59,-0.72,0.45
2020-09-22,300523,44.41,43.87,44.99,43.56,10735,47414296.0,3.2,-1.7,-0.76,0.47
2020-09-23,300523,44.25,43.54,44.66,43.35,12635,55310536.0,2.99,-0.75,-0.33,0.55
2020-09-24,300523,43.54,41.66,43.63,41.58,21413,90727722.0,4.71,-4.32,-1.88,0.94
2020-09-25,300523,41.79,41.44,42.67,41.1,14773,61498509.0,3.77,-0.53,-0.22,0.65
2020-09-28,300523,41.59,41.5,42.22,41.0,9262,38451076.0,2.94,0.14,0.06,0.41
2020-09-29,300523,41.41,41.12,41.9,41.05,11539,47673231.0,2.05,-0.92,-0.38,0.51
2020-09-30,300523,41.1,40.99,41.51,40.52,13640,55884797.0,2.41,-0.32,-0.13,0.6
2020-10-09,300523,41.21,42.18,42.42,40.83,19592,81673640.0,3.88,2.9,1.19,0.86
2020-10-12,300523,42.17,42.39,42.65,41.8,18070,76388295.0,2.02,0.5,0.21,0.79
2020-10-13,300523,42.4,41.01,42.71,40.8,25855,107405284.0,4.51,-3.26,-1.38,1.13
2020-10-14,300523,41.13,41.35,41.85,40.65,17045,70383148.0,2.93,0.83,0.34,0.75
2020-10-15,300523,41.09,40.5,41.26,40.43,13704,55872966.0,2.01,-2.06,-0.85,0.6
2020-10-16,300523,40.5,39.89,40.69,39.32,14876,59422570.0,3.38,-1.51,-0.61,0.65
2020-10-19,300523,40.7,39.78,41.09,39.7,16341,66072279.0,3.48,-0.28,-0.11,0.72
2020-10-20,300523,39.8,40.36,40.44,39.7,9335,37472814.0,1.86,1.46,0.58,0.41
2020-10-21,300523,40.2,39.98,40.49,39.66,10935,43645170.0,2.06,-0.94,-0.38,0.48
2020-10-22,300523,39.99,39.86,40.08,39.5,9029,35948233.0,1.45,-0.3,-0.12,0.4
2020-10-23,300523,39.86,39.08,40.11,38.76,11774,46324055.0,3.39,-1.96,-0.78,0.52
2020-10-26,300523,39.03,38.34,39.03,38.29,10905,42048187.0,1.89,-1.89,-0.74,0.48
2020-10-27,300523,38.21,38.62,38.77,38.21,5763,22198296.0,1.46,0.73,0.28,0.25
2020-10-28,300523,38.62,39.01,39.09,38.25,8288,32059904.0,2.18,1.01,0.39,0.36
2020-10-29,300523,38.6,39.21,39.65,38.37,12590,49169437.0,3.28,0.51,0.2,0.55
2020-10-30,300523,39.3,37.06,40.29,36.0,33001,126248908.0,10.94,-5.48,-2.15,1.45
2020-11-02,300523,37.06,36.49,37.5,34.95,29504,106681088.0,6.88,-1.54,-0.57,1.29
2020-11-03,300523,36.8,37.07,37.17,36.36,18363,67513841.0,2.22,1.59,0.58,0.81
2020-11-04,300523,37.0,36.97,37.4,36.81,10195,37739668.0,1.59,-0.27,-0.1,0.45
2020-11-05,300523,37.21,37.28,37.54,36.55,15361,56926500.0,2.68,0.84,0.31,0.67
2020-11-06,300523,37.24,37.31,38.11,37.18,12613,47337955.0,2.49,0.08,0.03,0.55
2020-11-09,300523,37.31,38.05,38.38,37.3,19156,72692522.0,2.89,1.98,0.74,0.84
2020-11-10,300523,37.99,40.5,41.06,37.99,39300,157649754.0,8.07,6.44,2.45,1.72
2020-11-11,300523,40.35,39.25,40.56,38.93,19250,75933599.0,4.02,-3.09,-1.25,0.84
2020-11-12,300523,39.25,38.64,39.29,38.3,12674,49004832.0,2.52,-1.55,-0.61,0.56
2020-11-13,300523,38.39,39.55,40.0,38.18,15995,62993719.0,4.71,2.36,0.91,0.7
2020-11-16,300523,40.0,40.46,40.78,39.57,15083,60830742.0,3.06,2.3,0.91,0.66
2020-11-17,300523,41.0,40.0,41.49,39.67,22241,89993435.0,4.5,-1.14,-0.46,0.98
2020-11-18,300523,40.16,38.28,40.16,38.13,28575,110621624.0,5.08,-4.3,-1.72,1.25
2020-11-19,300523,38.38,38.16,38.7,37.86,12900,49348207.0,2.19,-0.31,-0.12,0.57
2020-11-20,300523,38.24,38.45,38.8,38.08,8197,31523387.0,1.89,0.76,0.29,0.36
2020-11-23,300523,38.18,37.52,38.28,37.0,15374,57935409.0,3.33,-2.42,-0.93,0.67
2020-11-24,300523,37.98,37.44,38.17,37.25,11105,41812834.0,2.45,-0.21,-0.08,0.49
2020-11-25,300523,37.37,36.8,37.9,36.7,12417,46045605.0,3.21,-1.71,-0.64,0.54
