date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300079,5.49,5.62,5.73,5.27,626347,348585318.0,8.36,2.18,0.12,4.94
2020-09-14,300079,5.66,5.88,5.95,5.59,916095,531510760.0,6.41,4.63,0.26,7.23
2020-09-15,300079,5.82,5.71,5.89,5.61,618602,356038711.0,4.76,-2.89,-0.17,4.88
2020-09-16,300079,5.73,5.56,5.74,5.45,472599,263284040.0,5.08,-2.63,-0.15,3.73
2020-09-17,300079,5.53,5.56,5.66,5.46,376349,209788927.0,3.6,0.0,0.0,2.97
2020-09-18,300079,5.53,5.55,5.6,5.4,400535,220349916.0,3.6,-0.18,-0.01,3.16
2020-09-21,300079,5.55,5.61,5.66,5.47,308033,171920750.0,3.42,1.08,0.06,2.43
2020-09-22,300079,5.52,5.41,5.62,5.39,341853,188183135.0,4.1,-3.57,-0.2,2.7
2020-09-23,300079,5.44,5.47,5.53,5.4,250993,137161497.0,2.4,1.11,0.06,1.98
2020-09-24,300079,5.41,5.17,5.45,5.16,423631,223039003.0,5.3,-5.48,-0.3,3.34
2020-09-25,300079,5.19,5.11,5.25,5.06,214712,110505166.0,3.68,-1.16,-0.06,1.7
2020-09-28,300079,5.17,5.08,5.18,5.07,174486,89281975.0,2.15,-0.59,-0.03,1.38
2020-09-29,300079,5.1,5.14,5.19,5.09,183502,94543646.0,1.97,1.18,0.06,1.45
2020-09-30,300079,5.14,5.13,5.21,5.1,177308,91432037.0,2.14,-0.19,-0.01,1.4
2020-10-09,300079,5.24,5.29,5.31,5.21,232094,122456590.0,1.95,3.12,0.16,1.83
2020-10-12,300079,5.37,5.51,5.52,5.33,387935,211738502.0,3.59,4.16,0.22,3.06
2020-10-13,300079,5.52,5.55,5.58,5.47,273642,151337477.0,2.0,0.73,0.04,2.16
2020-10-14,300079,5.56,5.45,5.61,5.41,277392,152148152.0,3.6,-1.8,-0.1,2.19
2020-10-15,300079,5.49,5.36,5.51,5.34,200856,108941077.0,3.12,-1.65,-0.09,1.59
2020-10-16,300079,5.37,5.47,5.48,5.33,217907,118020376.0,2.8,2.05,0.11,1.72
2020-10-19,300079,5.59,5.5,5.64,5.45,327347,182071828.0,3.47,0.55,0.03,2.58
2020-10-20,300079,5.5,5.68,5.7,5.47,461650,260290797.0,4.18,3.27,0.18,3.64
2020-10-21,300079,5.68,5.58,5.69,5.51,300942,167653468.0,3.17,-1.76,-0.1,2.38
2020-10-22,300079,5.57,5.7,5.73,5.44,419700,236117466.0,5.2,2.15,0.12,3.31
2020-10-23,300079,5.67,5.56,5.73,5.47,332655,186157573.0,4.56,-2.46,-0.14,2.63
2020-10-26,300079,5.51,5.6,5.62,5.46,234717,130548990.0,2.88,0.72,0.04,1.85
2020-10-27,300079,5.56,5.73,5.82,5.55,510503,291054976.0,4.82,2.32,0.13,4.03
2020-10-28,300079,5.76,5.83,5.84,5.58,627420,359828960.0,4.54,1.75,0.1,4.95
2020-10-29,300079,5.71,5.71,5.86,5.69,486109,280686816.0,2.92,-2.06,-0.12,3.84
2020-10-30,300079,5.69,5.39,5.76,5.36,467974,260806329.0,7.01,-5.6,-0.32,3.69
2020-11-02,300079,5.39,5.39,5.44,5.23,344516,183952938.0,3.9,0.0,0.0,2.72
