date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300150,5.13,5.57,5.68,5.05,274982,151338316.0,12.28,8.58,0.44,5.51
2020-09-14,300150,5.64,5.77,5.85,5.5,173713,99165071.0,6.28,3.59,0.2,3.48
2020-09-15,300150,5.73,5.59,5.81,5.47,114851,64514435.0,5.89,-3.12,-0.18,2.3
2020-09-16,300150,5.51,5.46,5.6,5.38,94684,51736870.0,3.94,-2.33,-0.13,1.9
2020-09-17,300150,5.39,5.5,5.61,5.39,89279,49045437.0,4.03,0.73,0.04,1.79
2020-09-18,300150,5.49,5.48,5.54,5.38,62093,33878414.0,2.91,-0.36,-0.02,1.25
2020-09-21,300150,5.5,5.36,5.52,5.34,72501,39258827.0,3.28,-2.19,-0.12,1.45
2020-09-22,300150,5.31,5.24,5.45,5.2,69388,36808279.0,4.66,-2.24,-0.12,1.39
2020-09-23,300150,5.29,5.36,5.41,5.27,59512,31862665.0,2.67,2.29,0.12,1.19
2020-09-24,300150,5.31,5.15,5.32,5.11,65764,34087015.0,3.92,-3.92,-0.21,1.32
2020-09-25,300150,5.17,5.16,5.23,5.07,37808,19467085.0,3.11,0.19,0.01,0.76
2020-09-28,300150,5.11,5.09,5.21,5.05,37034,18971969.0,3.1,-1.36,-0.07,0.74
2020-09-29,300150,5.16,5.19,5.24,5.09,31517,16330513.0,2.95,1.96,0.1,0.63
2020-09-30,300150,5.2,5.27,5.34,5.15,44777,23575053.0,3.66,1.54,0.08,0.9
2020-10-09,300150,5.43,5.44,5.45,5.34,42668,23070344.0,2.09,3.23,0.17,0.86
2020-10-12,300150,5.47,5.63,5.68,5.41,72969,40884212.0,4.96,3.49,0.19,1.46
2020-10-13,300150,5.63,5.64,5.67,5.56,43787,24653910.0,1.95,0.18,0.01,0.88
2020-10-14,300150,5.59,5.53,5.66,5.48,43458,24074417.0,3.19,-1.95,-0.11,0.87
2020-10-15,300150,5.57,5.44,5.57,5.41,40999,22470239.0,2.89,-1.63,-0.09,0.82
2020-10-16,300150,5.46,5.6,5.63,5.4,66841,37093973.0,4.23,2.94,0.16,1.34
2020-10-19,300150,5.63,5.62,5.81,5.57,79720,45254614.0,4.29,0.36,0.02,1.6
2020-10-20,300150,5.62,5.66,5.68,5.55,54027,30395028.0,2.31,0.71,0.04,1.08
2020-10-21,300150,5.69,5.51,5.69,5.44,52604,29075807.0,4.42,-2.65,-0.15,1.05
2020-10-22,300150,5.51,5.58,5.61,5.35,59784,33013535.0,4.72,1.27,0.07,1.2
2020-10-23,300150,5.59,5.42,5.64,5.39,48297,26656737.0,4.48,-2.87,-0.16,0.97
2020-10-26,300150,5.45,5.55,5.7,5.37,95520,53170908.0,6.09,2.4,0.13,1.92
